buy,06/12/2007,8.19,8.19,7.79,7.91
close,04/01/2008,8.03,8.18,7.78,7.78
buy,07/31/2008,5.9,6.16,5.8,5.81    #正处于下跌趋势中
close,10/08/2008,3.56,3.7,3.47,3.66
buy,11/14/2008,3.37,3.47,3.32,3.39
close,05/21/2010,8.22,8.45,8.03,8.4  #卖点不是非常好
buy,11/08/2010,12.68,13.3,12.6,13.22 #创新高应该考虑当时是一个卖点的情形
close,08/09/2011,11.4,11.81,11.03,11.7
buy,03/05/2012,9.93,9.99,9.78,9.82   #gap选的不好，而且也是卖点的情形
close,11/28/2012,7.37,7.44,7.23,7.36
buy,01/29/2013,9.04,9.8,9.04,9.35    #？
close,06/25/2013,9.91,10.0,9.15,9.6   #应该为卖点
buy,08/16/2013,12.11,13.68,12.11,12.33
